,Provincia,Año,mean,std,CV
0,Buenos Aires,2014,55.62014138128556,0.9877567202226595,1.7758975358430296
1,Buenos Aires,2015,57.28844820701918,0.865149575162634,1.5101640945768067
2,Buenos Aires,2016,59.513579374661056,1.6470373298112988,2.7674983543546596
3,Buenos Aires,2017,57.0212863241231,1.323589322028878,2.321219683655098
4,Buenos Aires,2018,63.612973101249516,1.0533334135885988,1.6558468536159472
5,Buenos Aires,2019,66.92451224858888,2.188754814349836,3.270483027533736
6,Buenos Aires,2020,66.54485579646845,2.147025958866249,3.226434159588624
7,Buenos Aires,2021,71.61370988663579,2.9038035309210035,4.054815112242771
8,Buenos Aires,2022,77.67703665289315,1.2039378655495423,1.549927645836243
9,Buenos Aires,2023,79.77,0.8245604889879145,1.0336724194407854
10,Capital Federal,2014,113.52368827627767,1.1133170392421188,0.9806913923838411
11,Capital Federal,2015,116.84571061084107,1.647122394050163,1.4096558491016966
12,Capital Federal,2016,119.15095085611003,2.6794884439509983,2.2488183473976826
13,Capital Federal,2017,119.29658805476915,7.340288866629069,6.152974687976103
14,Capital Federal,2018,107.37241927703215,1.1485166203747132,1.0696570200317639
15,Capital Federal,2019,109.65814671695556,2.681475398686602,2.4453043198038897
16,Capital Federal,2020,107.09548904718072,1.0834795692788535,1.0116948705482156
17,Capital Federal,2021,110.2763556317102,1.3466627649720446,1.2211709003782212
18,Capital Federal,2022,119.52946567293662,5.188347399434749,4.340643012352621
19,Capital Federal,2023,118.15666666666668,3.866837639898175,3.2726360255295295
20,Catamarca,2014,24.793692625679896,0.5253878879848722,2.1190384825562667
21,Catamarca,2015,25.666529337178808,0.49087813923330087,1.9125224637296316
22,Catamarca,2016,26.252149597089193,0.30860241063978094,1.1755319673860094
23,Catamarca,2017,28.187086919383788,3.16146928269523,11.216019916272868
24,Catamarca,2018,32.69810213625942,0.3191053972190632,0.9759141245852383
25,Catamarca,2019,32.91087070755169,2.4276643000192704,7.376481532778838
26,Catamarca,2020,44.902807099736954,5.12361486820008,11.410455602073249
27,Catamarca,2021,52.300474015615556,2.6111402867898668,4.992574801540515
28,Catamarca,2022,62.92658770890293,3.4842175043713923,5.536956048672636
29,Catamarca,2023,67.38,1.1905040949110586,1.7668508383957535
30,Chaco,2014,21.164996284207483,0.49767685278165985,2.3514147893000454
31,Chaco,2015,27.606942409331463,0.7340765546647711,2.6590288188403104
32,Chaco,2016,28.591525539177795,0.368162581126235,1.2876632994687778
33,Chaco,2017,29.612817268193872,0.9772239357081475,3.300003261620605
34,Chaco,2018,31.73892358778619,0.8338169251969088,2.627111542994417
35,Chaco,2019,34.86441179127508,1.8564701537173607,5.324828552483847
36,Chaco,2020,40.47226134677067,2.382591419687185,5.886973794898403
37,Chaco,2021,43.36877341998982,0.47710715634275935,1.1001167861548236
38,Chaco,2022,43.832370024854704,0.1818778417491873,0.4149395564192748
39,Chaco,2023,42.96333333333333,0.16165807537309587,0.3762698627661476
40,Chubut,2014,40.87334338210355,0.5428583474695179,1.328147644773315
41,Chubut,2015,36.97430902074796,0.4452227972196004,1.2041409535733736
42,Chubut,2016,36.11717277161968,0.04617062566493349,0.12783565855745402
43,Chubut,2017,42.22167628772977,7.936087631011231,18.79624005671602
44,Chubut,2018,51.90514754203964,6.292128136096833,12.122358636974564
45,Chubut,2019,47.174244987881856,3.336595877015442,7.07291844919309
46,Chubut,2020,61.32722503044728,8.47779660779259,13.82387121475592
47,Chubut,2021,76.14288120570284,6.535118761555829,8.582704854444582
48,Chubut,2022,85.29818523458943,2.0775762721832622,2.435662923507053
49,Chubut,2023,84.20333333333333,1.7001568555087332,2.019108731454099
50,Corrientes,2014,22.810573936252503,0.5369423993245696,2.3539188484478024
51,Corrientes,2015,29.759511951093906,0.6284952480099274,2.111913827897386
52,Corrientes,2016,30.67722406332462,0.45067135200761405,1.4690747476933639
53,Corrientes,2017,31.751818883781176,0.7177547159581642,2.2605152749998623
54,Corrientes,2018,33.8223575561286,0.8325546336815546,2.461551156804845
55,Corrientes,2019,37.635841224076344,1.685881771837995,4.479458189337629
56,Corrientes,2020,40.80321900986003,1.6420679653388173,4.024358874582945
57,Corrientes,2021,44.154084082153446,1.2899990532996235,2.9215849000501084
58,Corrientes,2022,48.96115878537559,1.8117375950393053,3.7003568542590557
59,Corrientes,2023,52.4,0.3659234892706435,0.6983272696004647
60,Córdoba,2014,53.72412018398867,0.9551860028984386,1.7779462923305562
61,Córdoba,2015,56.253698891324504,1.2238243093579642,2.1755446014710036
62,Córdoba,2016,57.1929021811094,1.3078869098080999,2.2867993403560662
63,Córdoba,2017,60.56662160147977,2.6897904427292993,4.441044211492857
64,Córdoba,2018,64.03072515665725,0.816701375984223,1.2754835650948595
65,Córdoba,2019,68.16599953445909,2.0472900495743245,3.0033888794359775
66,Córdoba,2020,74.17540643660219,3.1954719776130194,4.307993890595252
67,Córdoba,2021,81.12486341691456,2.5115913198269446,3.095957532673364
68,Córdoba,2022,87.64436339078388,1.408368433120948,1.60691273076101
69,Córdoba,2023,89.67333333333333,0.7227954989714085,0.8060317065326836
70,Entre Ríos,2014,35.015418094597706,0.718612025500199,2.0522731545252313
71,Entre Ríos,2015,43.195725524558796,0.896792461417261,2.076113899064833
72,Entre Ríos,2016,44.807096607249974,0.7033037489177255,1.569625800757481
73,Entre Ríos,2017,46.034992919803116,1.306135901868814,2.837267519828262
74,Entre Ríos,2018,50.62015040829062,2.583579041219793,5.103854928089372
75,Entre Ríos,2019,57.53967773135703,0.5487105349492551,0.9536211473256615
76,Entre Ríos,2020,57.580796526871765,1.5466651263679134,2.6860780323629543
77,Entre Ríos,2021,61.858619270788424,1.1310508788603553,1.828445077167238
78,Entre Ríos,2022,63.82022586780789,0.16246412845058397,0.25456526710998983
79,Entre Ríos,2023,66.02,2.4488160404570967,3.7092033330158993
80,Formosa,2014,17.67162225684596,0.23965136955830094,1.3561367828890771
81,Formosa,2015,18.596303542455495,0.43126275637245787,2.319077850003265
82,Formosa,2016,19.224973353756425,0.5117188701883725,2.6617403351999247
83,Formosa,2017,20.607231673307083,0.814458472811879,3.9522944455798092
84,Formosa,2018,27.53791234155172,4.090932284736216,14.855636963312731
85,Formosa,2019,30.169919278924194,0.36427528019690525,1.20741218042097
86,Formosa,2020,31.440186351663304,0.9784953853680168,3.1122442291638985
87,Formosa,2021,33.59376203227049,0.7644689352703867,2.275627643417937
88,Formosa,2022,40.386421748937835,4.124314351607367,10.212131139634417
89,Formosa,2023,38.656666666666666,0.29365512652315984,0.7596493744670859
90,Jujuy,2014,18.772341460595687,0.5712414688575228,3.042995302725524
91,Jujuy,2015,20.6796849628045,0.8386234301034651,4.055300801786171
92,Jujuy,2016,22.138708401409733,0.5983656746015154,2.702802998947369
93,Jujuy,2017,22.636962142051498,0.16337144466464645,0.7217021596778654
94,Jujuy,2018,29.08735753351358,11.630633627208955,39.98518467622398
95,Jujuy,2019,45.15509867641424,0.953460707216543,2.111523914606263
96,Jujuy,2020,50.51476283499463,3.7768653868836513,7.476755655016534
97,Jujuy,2021,56.10623504168427,0.5966739707380544,1.0634717697502853
98,Jujuy,2022,58.18865716606696,0.6742676914033905,1.1587613879438232
99,Jujuy,2023,57.86333333333334,0.3036994127971518,0.5248564078526732
100,La Pampa,2014,51.29681309733984,3.208394163682766,6.254568207959779
101,La Pampa,2015,57.23399862591893,1.4266913344004282,2.4927339844368976
102,La Pampa,2016,60.7564242793969,2.2106125530743252,3.638483632460848
103,La Pampa,2017,66.58812640049013,4.137302617200811,6.213273808482406
104,La Pampa,2018,72.00906489928227,1.0451266264647985,1.4513820279802239
105,La Pampa,2019,76.95364894132804,0.45664417898562626,0.5934015933848524
106,La Pampa,2020,78.22519506473596,2.8392833852410853,3.6296277470339464
107,La Pampa,2021,84.42601899493134,3.6044819448350047,4.269397026823456
108,La Pampa,2022,94.00833132852179,2.148508858382645,2.2854451600406134
109,La Pampa,2023,97.96666666666665,1.2691860908997359,1.2955285038105506
110,La Rioja,2014,16.57853344837164,0.3047627120415901,1.8382971750225845
111,La Rioja,2015,17.013325214955216,0.27299544765168426,1.604597832596024
112,La Rioja,2016,16.81057411852651,0.25890239697965123,1.540116328890406
113,La Rioja,2017,33.85817416565161,20.390541715464337,60.22339425541175
114,La Rioja,2018,50.87560948742333,0.4588666894027968,0.901938461329354
115,La Rioja,2019,48.49208056494416,1.2975279076528574,2.675752189917099
116,La Rioja,2020,49.10382293896916,1.8426769946319854,3.7526141231859635
117,La Rioja,2021,70.4923118715782,13.795938139439322,19.570840809665242
118,La Rioja,2022,79.85864966641125,0.7950867380389683,0.9956175584739243
119,La Rioja,2023,80.06333333333333,0.3530344647953424,0.4409440003272523
120,Mendoza,2014,32.240730643663255,0.31145156716098293,0.9660189485258985
