id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_acceso_teconologia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_acceso_velocidad,Banda ancha fija,Dial up,Total,Mbps (Media de bajada)
20234Buenos Aires,2023,4,Buenos Aires,80.96,27.68,223391.0,2797700.0,1784593.0,137993.0,67943.0,5011620.0,26909.0,23962.0,228393.0,239339.0,246144.0,110876.0,4042646.0,93351.0,5011620.0,5005720.0,5900.0,5011620.0,158.49
20234Capital Federal,2023,4,Capital Federal,117.02,47.8,58700.0,1198835.0,182520.0,4492.0,29820.0,1474367.0,516.0,4544.0,26409.0,48083.0,33925.0,5829.0,1355061.0,0.0,1474367.0,1472317.0,2050.0,1474367.0,234.44
20234Catamarca,2023,4,Catamarca,68.63,17.46,6669.0,11016.0,55437.0,1384.0,81.0,74587.0,71.0,209.0,3065.0,3734.0,4423.0,1827.0,61181.0,77.0,74587.0,74586.0,1.0,74587.0,89.4
20234Chaco,2023,4,Chaco,44.35,11.85,14000.0,60277.0,62301.0,8404.0,2404.0,147386.0,236.0,477.0,14811.0,10361.0,6247.0,5729.0,105485.0,4040.0,147386.0,147381.0,5.0,147386.0,107.14
20234Chubut,2023,4,Chubut,84.96,26.04,26306.0,77217.0,26174.0,30543.0,9930.0,170170.0,111.0,1088.0,44276.0,31402.0,22843.0,20196.0,33665.0,16589.0,170170.0,169313.0,857.0,170170.0,20.29
20234Córdoba,2023,4,Córdoba,90.67,27.76,115662.0,452380.0,440536.0,61862.0,8862.0,1079302.0,99.0,8404.0,117068.0,91169.0,51126.0,26948.0,767427.0,17061.0,1079302.0,1079239.0,63.0,1079302.0,114.03
20234Corrientes,2023,4,Corrientes,52.56,13.84,21769.0,86102.0,35968.0,10402.0,5231.0,159472.0,67.0,2889.0,19949.0,17984.0,8108.0,5087.0,98904.0,6484.0,159472.0,159469.0,3.0,159472.0,100.9
20234Entre Ríos,2023,4,Entre Ríos,69.94,20.91,41794.0,159575.0,61667.0,24036.0,11565.0,298637.0,107.0,4408.0,37150.0,54377.0,16673.0,7236.0,164304.0,14382.0,298637.0,298617.0,20.0,298637.0,101.18
20234Formosa,2023,4,Formosa,39.23,9.98,10252.0,18325.0,16179.0,17061.0,185.0,62002.0,85.0,179.0,21856.0,11563.0,4545.0,272.0,23152.0,350.0,62002.0,62002.0,0.0,62002.0,83.35
20234Jujuy,2023,4,Jujuy,57.78,14.77,11669.0,51083.0,49947.0,4105.0,1216.0,118020.0,58.0,1343.0,15359.0,11724.0,28741.0,272.0,58543.0,1980.0,118020.0,118020.0,0.0,118020.0,46.2
20234La Pampa,2023,4,La Pampa,99.96,32.93,6844.0,59063.0,34331.0,19982.0,1106.0,121326.0,71.0,1330.0,46716.0,17278.0,14556.0,5511.0,34254.0,1610.0,121326.0,121164.0,162.0,121326.0,25.61
20234La Rioja,2023,4,La Rioja,80.22,21.35,3296.0,55441.0,22559.0,6395.0,30.0,87721.0,18.0,435.0,1483.0,1786.0,24838.0,4709.0,54452.0,0.0,87721.0,87717.0,4.0,87721.0,64.18
20234Mendoza,2023,4,Mendoza,52.15,14.55,17676.0,70920.0,182220.0,27609.0,926.0,299351.0,104.0,2945.0,35976.0,20902.0,30051.0,7781.0,196093.0,5499.0,299351.0,298621.0,730.0,299351.0,49.46
20234Misiones,2023,4,Misiones,56.27,15.33,25840.0,79000.0,75382.0,12928.0,7183.0,200333.0,51.0,3248.0,32287.0,21522.0,11338.0,3850.0,119112.0,8925.0,200333.0,200333.0,0.0,200333.0,93.65
20234Neuquén,2023,4,Neuquén,79.91,23.78,24122.0,73784.0,41583.0,24390.0,748.0,164627.0,136.0,998.0,35431.0,13485.0,10435.0,2933.0,81033.0,20176.0,164627.0,164188.0,439.0,164627.0,99.63
20234Río Negro,2023,4,Río Negro,70.26,21.61,21192.0,49789.0,64323.0,17284.0,15829.0,168417.0,112.0,1039.0,27223.0,16608.0,18343.0,24693.0,64813.0,15586.0,168417.0,167902.0,515.0,168417.0,74.37
20234Salta,2023,4,Salta,56.98,13.8,26765.0,98853.0,60800.0,11806.0,6508.0,204732.0,114.0,1154.0,28069.0,65938.0,3735.0,66.0,98971.0,6685.0,204732.0,204727.0,5.0,204732.0,83.04
20234San Juan,2023,4,San Juan,50.08,12.75,12669.0,18543.0,42691.0,22351.0,6956.0,103210.0,24.0,2021.0,21157.0,12882.0,12489.0,1343.0,30645.0,22649.0,103210.0,102963.0,247.0,103210.0,24.78
20234San Luis,2023,4,San Luis,102.07,29.21,4037.0,41260.0,30135.0,78954.0,299.0,154685.0,60.0,628.0,11317.0,23754.0,8952.0,75907.0,33150.0,917.0,154685.0,154520.0,165.0,154685.0,174.59
20234Santa Cruz,2023,4,Santa Cruz,73.75,21.94,7768.0,15669.0,55246.0,7687.0,661.0,87031.0,50.0,500.0,7764.0,10783.0,11558.0,3628.0,19314.0,33434.0,87031.0,86844.0,187.0,87031.0,36.77
20234Santa Fe,2023,4,Santa Fe,79.75,25.08,97004.0,398670.0,355762.0,44521.0,13544.0,909501.0,468.0,6845.0,82343.0,164019.0,59636.0,22135.0,557629.0,16426.0,909501.0,909395.0,106.0,909501.0,99.81
20234Santiago Del Estero,2023,4,Santiago Del Estero,49.08,12.18,8290.0,80692.0,24271.0,7057.0,2920.0,123230.0,180.0,1173.0,13018.0,53980.0,24514.0,5794.0,23641.0,930.0,123230.0,123228.0,2.0,123230.0,44.22
20234Tierra Del Fuego,2023,4,Tierra Del Fuego,110.49,32.75,9357.0,48071.0,3682.0,157.0,332.0,61599.0,22.0,834.0,10283.0,12618.0,19536.0,6085.0,4342.0,7879.0,61599.0,61294.0,305.0,61599.0,17.92
20234Tucumán,2023,4,Tucumán,61.04,15.12,41318.0,20267.0,199876.0,4357.0,517.0,266335.0,39.0,1089.0,18850.0,22817.0,24476.0,1583.0,196919.0,562.0,266335.0,266308.0,27.0,266335.0,101.55
20233Buenos Aires,2023,3,Buenos Aires,80.64,27.5,237705.0,2784175.0,1740239.0,137921.0,68197.0,4968237.0,27440.0,24820.0,242010.0,241310.0,246076.0,112159.0,3951660.0,122762.0,4968237.0,4962337.0,5900.0,4968237.0,146.84
