Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2023,4,Buenos Aires,16.74,48.96
2023,4,Capital Federal,23.29,57.01
2023,4,Catamarca,12.23,48.07
2023,4,Chaco,9.42,35.23
2023,4,Chubut,11.97,39.05
2023,4,Córdoba,28.96,94.59
2023,4,Corrientes,10.98,41.71
2023,4,Entre Ríos,18.08,60.48
2023,4,Formosa,12.67,49.79
2023,4,Jujuy,15.11,59.1
2023,4,La Pampa,22.13,67.17
2023,4,La Rioja,5.86,22.03
2023,4,Mendoza,7.02,25.15
2023,4,Misiones,10.21,37.5
2023,4,Neuquén,9.67,32.49
2023,4,Río Negro,12.61,41.02
2023,4,Salta,14.7,60.71
2023,4,San Juan,5.14,20.18
2023,4,San Luis,10.0,34.96
2023,4,Santa Cruz,10.62,35.7
2023,4,Santa Fe,19.42,61.77
2023,4,Santiago Del Estero,15.67,63.15
2023,4,Tierra Del Fuego,24.28,81.92
2023,4,Tucumán,7.49,30.25
2023,3,Buenos Aires,16.71,49.01
2023,3,Capital Federal,23.68,57.9
2023,3,Catamarca,13.22,51.98
2023,3,Chaco,9.75,36.47
2023,3,Chubut,12.23,39.89
2023,3,Córdoba,29.6,96.67
2023,3,Corrientes,12.2,46.35
2023,3,Entre Ríos,16.35,54.69
2023,3,Formosa,12.21,47.98
2023,3,Jujuy,15.48,60.54
2023,3,La Pampa,22.36,67.87
2023,3,La Rioja,8.59,32.28
2023,3,Mendoza,7.0,25.1
2023,3,Misiones,10.85,39.85
2023,3,Neuquén,10.91,36.65
2023,3,Río Negro,13.42,43.64
2023,3,Salta,14.81,61.17
2023,3,San Juan,5.52,21.68
2023,3,San Luis,9.23,32.26
2023,3,Santa Cruz,10.49,35.25
2023,3,Santa Fe,20.85,66.32
2023,3,Santiago Del Estero,14.83,59.77
2023,3,Tierra Del Fuego,24.47,82.55
2023,3,Tucumán,7.4,29.86
2023,2,Buenos Aires,17.36,51.04
2023,2,Capital Federal,26.59,64.95
2023,2,Catamarca,12.78,50.23
2023,2,Chaco,10.05,37.61
2023,2,Chubut,11.86,38.7
2023,2,Córdoba,31.36,102.43
2023,2,Corrientes,12.8,48.63
2023,2,Entre Ríos,16.91,56.57
2023,2,Formosa,12.34,48.48
2023,2,Jujuy,15.37,60.11
2023,2,La Pampa,22.44,68.11
2023,2,La Rioja,6.4,24.06
2023,2,Mendoza,6.97,24.99
2023,2,Misiones,11.24,41.28
2023,2,Neuquén,12.43,41.76
2023,2,Río Negro,13.3,43.24
2023,2,Salta,15.33,63.3
2023,2,San Juan,5.23,20.52
2023,2,San Luis,9.21,32.2
2023,2,Santa Cruz,10.02,33.68
2023,2,Santa Fe,21.62,68.75
2023,2,Santiago Del Estero,15.63,62.96
2023,2,Tierra Del Fuego,24.45,82.48
2023,2,Tucumán,8.3,33.51
2023,1,Buenos Aires,16.83,49.59
2023,1,Capital Federal,24.48,59.73
2023,1,Catamarca,12.69,49.87
2023,1,Chaco,9.64,36.08
2023,1,Chubut,11.97,39.06
2023,1,Córdoba,29.93,97.77
2023,1,Corrientes,12.2,46.33
2023,1,Entre Ríos,16.27,54.42
2023,1,Formosa,12.1,47.53
2023,1,Jujuy,15.26,59.67
2023,1,La Pampa,22.5,68.3
2023,1,La Rioja,6.2,23.28
2023,1,Mendoza,6.89,24.68
2023,1,Misiones,11.03,40.49
2023,1,Neuquén,11.32,38.03
2023,1,Río Negro,13.83,44.98
2023,1,Salta,14.67,60.57
2023,1,San Juan,5.29,20.76
2023,1,San Luis,9.21,32.18
2023,1,Santa Cruz,9.28,31.17
2023,1,Santa Fe,21.01,66.83
2023,1,Santiago Del Estero,15.47,62.32
2023,1,Tierra Del Fuego,24.2,81.64
2023,1,Tucumán,8.05,32.5
2022,4,Buenos Aires,16.53,48.83
2022,4,Capital Federal,23.97,58.44
2022,4,Catamarca,12.82,50.39
2022,4,Chaco,10.06,37.65
2022,4,Chubut,12.52,40.84
